loan_origination_date,report_date,default_date,loan_age_m,credit_utilization,dpd,internal_score,age,macro_gdp_growth,macro_unemployment,macro_interest_rate,LGD,EAD,default_flag,account_id,employment_status,marital_status,dependents,region,stage
9/27/2020,12/1/2024,8/3/2025,51,1,103,303,28,1.93,5.3,2.63,0.7,155175.6731,1,3412149,Employed,Divorced,2,North,3
1/31/2021,6/1/2024,,41,1,129,884,41,1.2,6.01,3.3,0.604335988,150246.3337,0,3155748,Self-Employed,Married,2,South,3
1/22/2021,7/1/2023,3/13/2024,30,1,93,688,41,2.55,6.13,2.71,0.613754108,156532.1814,1,7662314,Unemployed,Married,0,East,3
6/29/2018,3/1/2023,,57,0.14,0,602,59,2.12,3.96,3.61,0.198885624,15764.72884,0,8084364,Employed,Divorced,4,South,2
8/21/2021,2/1/2023,,18,1,1,871,54,3,4.84,2.34,0.649358444,112905.0099,0,1428988,Unemployed,Single,3,West,2
2/19/2018,1/1/2022,9/19/2022,47,1,17,662,39,4.1,5.41,2.82,0.7,195843.5582,1,2897951,Self-Employed,Single,4,North,2
11/24/2018,2/1/2024,,63,1,137,487,51,1.01,4.17,2.52,0.654598796,158106.5,0,5168962,Employed,Single,1,East,3
9/13/2016,2/1/2022,,65,0.57,0,842,57,5.81,2.17,3.25,0.392884815,98462.9453,0,9047252,Self-Employed,Married,1,West,2
8/9/2020,5/1/2022,,21,0.52,21,545,44,2.65,4.83,3.45,0.509282438,81841.845,0,3694287,Retired,Married,4,West,2
12/24/2017,12/1/2022,3/18/2023,60,1,2,674,42,0.74,3.18,3.52,0.688711185,140297.664,1,5300915,Retired,Married,3,South,2
6/26/2019,10/1/2022,,40,1,90,592,60,1.24,4.06,3.8,0.7,151281.5104,0,9948331,Retired,Single,2,North,3
2/1/2020,7/1/2022,,29,1,23,876,60,1.99,5.52,3.17,0.628762591,123012.1048,0,3526954,Unemployed,Married,0,North,2
3/17/2019,10/1/2022,,43,1,55,716,66,0.82,5.78,3.72,0.672780864,200541.73,0,2404962,Employed,Married,2,West,2
7/14/2016,9/1/2023,12/7/2023,86,0.79,130,565,43,3.13,6.31,2.28,0.590046129,98809.76003,1,8002587,Self-Employed,Married,3,West,3
2/1/2020,11/1/2022,10/16/2023,33,0.34,144,371,65,1.77,6.84,2.68,0.279450321,35360.67432,1,3089319,Employed,Married,0,West,3
6/13/2018,1/1/2024,9/26/2024,67,1,0,829,58,3.29,5.31,2.77,0.7,146194.8159,1,2752683,Self-Employed,Married,1,North,2
1/15/2020,6/1/2023,3/6/2024,41,1,0,745,42,0.86,4.99,3.29,0.669968066,180761.5145,1,3795126,Employed,Single,1,South,2
1/15/2017,9/1/2022,12/4/2022,68,0.74,90,321,69,2.38,4.37,3.01,0.542415313,116290.18,1,9315390,Employed,Divorced,0,East,3
5/15/2021,5/1/2024,,36,0.92,0,382,62,1.99,4.59,2.67,0.625914669,118277.2841,0,9589747,Employed,Single,0,West,2
4/29/2016,6/1/2023,,86,0.11,129,766,53,2.44,5.77,2.88,0.303113909,46586.76722,0,5466271,Employed,Divorced,3,North,3
3/31/2020,8/1/2024,,53,1,5,755,25,2.95,3,2.21,0.699325139,169620.0125,0,7292357,Employed,Single,1,East,2
7/21/2016,7/1/2022,1/14/2023,72,0.89,119,385,65,2.26,4.29,3.22,0.586614454,149268.6991,1,2916796,Employed,Single,0,South,3
4/8/2021,5/1/2024,,37,0.4,90,654,22,2.74,3.3,2.84,0.411127246,79314.68482,0,4127748,Self-Employed,Divorced,4,East,3
10/1/2016,9/1/2022,3/10/2023,71,1,150,699,36,-0.36,4.56,3.01,0.638957818,202887.238,1,6919626,Retired,Married,2,North,3
1/5/2018,6/1/2024,12/9/2024,77,0.8,136,316,30,1.49,6.03,3.68,0.60044318,168701.8979,1,1973737,Retired,Married,0,West,3
2/8/2021,10/1/2022,,20,0.07,51,779,48,1.72,7.89,3.08,0.15,2000,0,1041743,Unemployed,Single,2,East,2
3/14/2021,6/1/2022,5/13/2023,15,1,14,501,49,2.72,4.89,1.82,0.633590698,187477.6999,1,9774821,Employed,Married,3,North,2
9/16/2019,8/1/2023,,47,0.09,1,785,51,1.18,3.12,3.79,0.209343062,26163.3638,0,3414802,Self-Employed,Single,3,West,2
2/25/2020,6/1/2024,,52,0.28,0,419,36,2.1,3.86,3.52,0.340923329,56981.91632,0,4599537,Employed,Married,3,West,2
5/19/2017,4/1/2024,,83,0.41,143,517,21,2.59,5.76,2.31,0.384068414,32654.58337,0,7434323,Self-Employed,Married,2,West,3
1/27/2017,1/1/2024,6/1/2024,84,1,90,562,69,-0.28,5.48,3.61,0.694217586,151592.2847,1,4416664,Employed,Single,0,West,3
9/30/2018,11/1/2022,,50,0.19,22,566,62,3.46,3.31,2.23,0.239444815,17243.52819,0,8807313,Self-Employed,Single,0,South,2
6/7/2017,11/1/2024,,89,0.63,132,555,47,1.22,7.35,3.77,0.4225739,116061.1763,0,7356228,Employed,Married,1,North,3
7/4/2017,11/1/2024,,88,0.11,105,668,58,2.17,4.86,2.55,0.17450779,42921.61001,0,7252016,Unemployed,Married,2,North,3
9/12/2019,11/1/2024,5/4/2025,62,1,0,657,67,1.88,6.54,2.75,0.676968061,113510.273,1,5706797,Unemployed,Single,0,West,2
5/3/2015,8/1/2024,3/26/2025,111,0.45,85,539,46,2.39,5.48,3.11,0.450356111,72059.30272,1,8609387,Employed,Widowed,0,East,2
3/15/2016,7/1/2023,,88,0.69,0,811,42,1.46,5.04,2.82,0.546680914,130937.2301,0,5023278,Employed,Divorced,2,East,2
8/15/2020,2/1/2022,9/28/2022,18,0.39,57,797,34,1.87,5.73,3.1,0.276347992,59766.42075,1,6301358,Self-Employed,Divorced,3,West,2
1/3/2019,1/1/2023,5/18/2023,48,0.96,113,488,67,1.39,5.39,3.72,0.694204198,163581.2729,1,1906395,Unemployed,Single,3,West,3
11/10/2019,1/1/2022,8/20/2022,26,0.54,115,560,40,1.71,8.77,2.89,0.427745886,93023.30935,1,6097579,Retired,Married,0,North,3
9/3/2017,4/1/2024,,79,0.32,8,661,25,2.84,4.8,2.27,0.2921539,59833.20464,0,2899054,Employed,Single,2,West,2
2/7/2017,3/1/2022,,61,0.44,151,442,45,1.47,5.19,2.83,0.422583814,65573.70044,0,7759291,Retired,Married,1,South,3
9/4/2017,8/1/2022,,59,0.99,129,798,25,1.29,3.11,2.22,0.7,129168.3839,0,8744064,Retired,Married,3,South,3
5/8/2017,11/1/2023,,78,1,104,602,38,0.77,4.22,3.21,0.7,132569.3971,0,7210958,Retired,Single,3,East,3
3/3/2016,5/1/2022,1/27/2023,74,1,144,656,60,2.27,3.9,2.69,0.658039124,169187.0503,1,2524102,Employed,Single,1,East,3
12/7/2015,11/1/2024,,107,1,5,848,22,2.13,5.82,2.65,0.684539381,155389.1651,0,8734102,Self-Employed,Married,1,North,2
6/25/2020,3/1/2024,9/17/2024,45,0.11,51,636,67,2.1,7.46,2.14,0.227063172,18729.75511,1,2906039,Unemployed,Single,4,West,2
2/2/2015,10/1/2024,11/8/2024,116,1,130,510,55,1.54,6.24,2.21,0.7,146522.1992,1,5666805,Unemployed,Divorced,2,South,3
2/5/2018,10/1/2022,,56,0.7,130,718,24,2.13,4.93,2.8,0.511041288,103896.2231,0,3892371,Employed,Single,3,East,3
5/14/2017,9/1/2022,10/3/2022,64,1,135,791,60,1.04,6.68,3,0.690717051,175938.2359,1,5228456,Unemployed,Married,1,West,3
11/18/2016,11/1/2022,,72,0.05,89,502,33,1.71,2.65,2.77,0.15,5795.118363,0,9741647,Unemployed,Single,1,North,2
7/16/2019,2/1/2024,,55,0.78,0,431,56,2.39,4.6,3.54,0.519189669,95178.70573,0,9899770,Employed,Divorced,0,South,2
6/16/2017,3/1/2022,,57,0.27,145,336,41,2.79,6.33,3.55,0.339126291,60373.03551,0,9242680,Employed,Married,4,West,3
7/21/2017,11/1/2024,,88,1,51,660,55,1.25,3.59,3.26,0.7,150902.4667,0,6928643,Employed,Single,1,East,2
8/11/2016,9/1/2023,,85,0.87,17,496,26,3.32,4.83,3.69,0.624899494,136127.9173,0,6332889,Employed,Single,4,South,2
2/9/2021,11/1/2023,5/22/2024,33,0.39,101,575,61,1.51,5.36,4.01,0.414676645,95651.56613,1,8790574,Self-Employed,Single,3,North,3
8/20/2018,1/1/2022,5/12/2022,41,0.49,135,375,65,0.83,5.82,3.5,0.437581801,78088.78885,1,9854198,Retired,Divorced,2,East,3
6/21/2016,12/1/2022,,78,0.04,0,643,39,1.44,6.19,3.2,0.15,16783.67346,0,5953799,Self-Employed,Single,4,West,1
1/3/2017,2/1/2022,5/20/2022,61,0.64,145,365,33,1.33,5.87,2.25,0.52006978,77421.53017,1,5657851,Unemployed,Married,4,West,3
8/4/2017,10/1/2024,,86,0.18,23,542,65,1.29,4.17,3.1,0.325901828,27606.61095,0,3109818,Employed,Single,0,North,2
4/20/2019,12/1/2024,,68,0.77,96,509,26,2.79,6.11,3.35,0.571708698,132690.5209,0,7041495,Unemployed,Single,0,South,3
9/29/2018,8/1/2024,6/22/2025,71,0.06,128,560,28,2.91,4.87,3.02,0.261232183,2000,1,2105534,Retired,Single,1,East,3
5/19/2021,11/1/2022,8/11/2023,18,0.01,3,450,56,1.18,3.66,3.56,0.15,10516.90186,1,3859244,Employed,Single,0,North,2
7/21/2019,9/1/2022,12/2/2022,38,0.82,23,836,57,3.19,6.23,2.7,0.642095125,130015.8215,1,7374825,Employed,Married,0,South,2
2/9/2017,5/1/2024,12/2/2024,87,0.98,153,403,51,2.5,4.48,4.06,0.693352353,152825.7491,1,9411883,Employed,Married,3,North,3
11/10/2019,11/1/2024,,60,0.2,105,738,54,1.14,5.76,3.16,0.245049632,55743.17797,0,1837393,Self-Employed,Single,3,West,3
5/30/2018,2/1/2023,,57,0.82,90,786,22,2.23,4.15,3.13,0.605588039,134688.7703,0,2520982,Employed,Widowed,0,North,3
6/24/2021,8/1/2023,,26,0.05,139,559,37,2.78,3.02,3.15,0.15,42061.43797,0,6855319,Employed,Single,0,North,3
3/12/2016,11/1/2022,,80,0.46,4,604,24,1.64,4.63,3.43,0.392016406,54128.20969,0,1264237,Retired,Single,1,East,2
5/19/2020,10/1/2022,,29,1,2,696,45,0.48,5.62,3.23,0.7,157718.4913,0,3227039,Employed,Divorced,0,North,2
11/22/2017,5/1/2022,,54,0.07,22,750,40,1,3.71,2.85,0.262394702,17189.33573,0,9181932,Employed,Single,4,North,1
6/26/2018,6/1/2023,8/19/2023,60,0.74,167,634,68,3.41,6.87,3.57,0.531086489,94614.91012,1,9100706,Self-Employed,Married,0,South,3
1/16/2015,8/1/2023,10/27/2023,103,0.96,1,895,56,0.47,5.72,3.39,0.63757532,168125.9,1,8083610,Employed,Single,2,East,2
3/9/2019,9/1/2024,1/13/2025,66,0.44,0,828,37,2.25,5.43,2.66,0.366912148,117493.4661,1,2443717,Employed,Widowed,2,West,2
3/24/2020,1/1/2022,,22,0.88,113,881,69,1.12,4.46,3.15,0.679770106,136659.8785,0,5909047,Unemployed,Single,3,West,3
2/22/2016,10/1/2023,3/10/2024,92,0.84,123,394,21,0.68,8.32,1.93,0.628437555,141100.4218,1,2910705,Self-Employed,Single,1,South,3
12/19/2021,11/1/2023,4/17/2024,23,0.81,111,490,37,2.45,4.81,2.21,0.56901199,128190.3695,1,7312379,Unemployed,Widowed,1,East,3
9/30/2017,6/1/2024,9/20/2024,81,1,126,615,50,3.94,4.58,3.03,0.7,140728.3066,1,5753292,Employed,Single,1,West,3
11/13/2016,9/1/2023,11/19/2023,82,1,102,406,29,1.65,5.46,2.9,0.7,118584.7944,1,8045927,Employed,Widowed,0,East,3
11/1/2015,4/1/2023,,89,1,116,818,65,3.16,3.23,2.99,0.7,140884.5303,0,6851244,Employed,Married,2,North,3
4/18/2021,7/1/2023,,27,0.86,0,822,59,1.92,6.88,2.85,0.587897345,106160.8324,0,5259622,Unemployed,Widowed,0,South,2
2/25/2018,6/1/2024,9/14/2024,76,1,109,498,58,2.14,3.74,2.19,0.683616893,189082.0416,1,5055957,Employed,Single,1,North,3
6/27/2019,3/1/2022,,33,1,1,867,56,2.83,3.97,2.77,0.680394592,152697.8061,0,4685501,Self-Employed,Divorced,1,North,2
6/22/2021,2/1/2022,,8,1,105,758,55,2.1,4.3,3.4,0.626824253,148081.6134,0,4128411,Self-Employed,Married,2,West,3
4/24/2020,8/1/2022,7/16/2023,28,0.75,68,482,65,2.62,4.53,3.03,0.577306014,135283.0765,1,7500785,Employed,Married,4,East,2
1/2/2019,1/1/2022,3/24/2022,36,0.26,118,373,42,1.63,2.97,2.95,0.306052764,21564.97794,1,1898332,Employed,Married,2,North,3
4/20/2020,2/1/2022,9/30/2022,22,0.2,104,372,23,0.31,5.83,3.03,0.260255673,19662.71924,1,4612610,Unemployed,Single,4,South,3
2/19/2015,10/1/2023,,104,1,109,768,34,2.87,3.84,4.04,0.688270643,156361.4454,0,3230919,Self-Employed,Single,1,North,3
12/15/2019,7/1/2022,,31,1,7,650,55,2.16,3.64,2.96,0.629231463,175575.3798,0,7689142,Unemployed,Married,4,West,2
1/11/2016,8/1/2024,,103,0.3,0,670,33,1.04,2.44,3.7,0.293967734,60033.7009,0,6605126,Self-Employed,Single,4,West,2
1/8/2016,12/1/2023,10/20/2024,95,0.1,78,627,35,1.82,7.22,3.15,0.187864274,24966.50285,1,6289730,Employed,Married,0,East,2
9/7/2020,2/1/2022,,17,0.25,117,303,25,1.15,6.21,2.55,0.247386137,44062.3547,0,9730829,Employed,Single,2,South,3
5/13/2015,11/1/2022,,90,0.68,0,834,68,3.32,4.22,2.87,0.515935714,115004.7171,0,1197775,Unemployed,Married,1,South,2
6/8/2021,8/1/2024,,38,0.49,35,441,56,0.57,5.25,4.12,0.439702543,82533.0581,0,2707923,Employed,Single,1,West,2
10/13/2018,9/1/2022,,47,0.53,0,381,27,0.64,5.45,3.54,0.535809295,63900.5545,0,2305585,Employed,Married,0,South,2
10/20/2020,1/1/2024,3/10/2024,39,0.13,108,557,36,1.57,6.88,3.8,0.230228891,25421.58443,1,8761850,Employed,Divorced,3,West,3
9/3/2018,12/1/2023,6/25/2024,63,1,0,603,26,3.22,4.86,3.09,0.7,133526.2268,1,1063014,Employed,Single,1,West,2
1/29/2021,1/1/2022,,12,0.67,0,588,41,-0.42,6.08,2.43,0.514777704,107121.6509,0,2847865,Employed,Divorced,0,East,2
7/3/2019,12/1/2024,,65,0.02,73,893,38,1.7,5.44,2.16,0.15,2000,0,5873062,Employed,Married,0,North,2
12/17/2021,7/1/2024,10/29/2024,31,0.4,0,570,25,2.67,4.39,3.03,0.368674306,115787.6325,1,1464071,Employed,Married,1,North,2
11/1/2021,1/1/2024,,26,0.56,8,894,63,2.89,4.14,3.57,0.46101151,88202.11232,0,1545726,Employed,Single,1,North,2
8/26/2019,4/1/2023,,44,0.5,73,751,48,2.83,5.62,3.28,0.548162106,51915.20867,0,3357821,Employed,Married,4,East,2
6/30/2020,9/1/2023,5/20/2024,39,1,121,623,55,3.45,4.88,3.09,0.690381952,152316.3958,1,2406368,Employed,Single,4,South,3
4/14/2017,7/1/2022,,63,0.72,31,848,60,0.39,4.37,2.83,0.561077367,123387.1749,0,7689558,Unemployed,Married,4,East,2
12/7/2020,5/1/2024,,41,0.88,102,760,57,4.99,4.51,3.49,0.632264412,170467.2789,0,5933594,Employed,Single,2,North,3
11/14/2019,8/1/2023,,45,1,3,705,32,2.41,4.49,3.21,0.641566098,143210.952,0,2294929,Employed,Divorced,0,North,2
7/18/2017,7/1/2024,1/14/2025,84,0.93,80,849,36,3.28,4.05,2.63,0.7,112851.4405,1,8983441,Employed,Divorced,3,South,2
12/28/2020,12/1/2022,1/18/2023,24,1,98,530,24,1.05,7.5,3.44,0.7,171336.7402,1,8331006,Employed,Single,4,West,3
8/4/2017,7/1/2022,,59,0.28,141,712,50,2.04,4.81,2.82,0.343551597,19388.02588,0,3655971,Employed,Married,4,North,3
11/19/2018,12/1/2022,,49,1,9,638,29,2.69,6.16,3.18,0.654530627,146276.8912,0,5851188,Employed,Single,3,South,2
7/16/2017,9/1/2024,,86,0.14,0,865,57,3.63,3.68,2.8,0.297139716,20847.59029,0,9358827,Retired,Single,2,West,1
7/18/2020,7/1/2023,,36,1,15,866,52,2.09,7.45,3.04,0.629907447,153607.3309,0,4896830,Retired,Single,2,South,2
4/29/2020,5/1/2024,3/26/2025,49,0.7,7,812,46,0.61,7.79,2.55,0.564342855,123783.2891,1,3843236,Unemployed,Divorced,0,East,2
3/18/2018,5/1/2023,9/7/2023,62,0.63,136,559,47,-0.39,5.27,2.54,0.606022781,85827.31435,1,6587757,Unemployed,Single,1,East,3
7/2/2020,11/1/2022,,28,0.1,0,853,33,1.79,4.99,3.19,0.155473184,14525.41496,0,6047999,Unemployed,Married,1,West,1
1/9/2015,7/1/2022,,90,0.33,3,799,54,-0.19,5.88,2.5,0.303185114,54214.59294,0,7825687,Unemployed,Widowed,0,East,1
2/27/2018,5/1/2024,8/8/2024,75,1,143,351,66,4.18,5.16,3.56,0.7,157991.9592,1,3188370,Employed,Married,2,East,3
9/8/2021,8/1/2022,7/1/2023,11,0.9,140,587,27,-0.98,3.21,2.81,0.619826217,141956.5435,1,6122964,Unemployed,Married,4,South,3
12/21/2019,3/1/2023,7/2/2023,39,0.76,0,718,31,1.3,6.5,2.38,0.490466828,127720.1155,1,2414474,Employed,Single,3,West,2
5/22/2019,10/1/2023,,53,0.03,118,350,24,-0.71,7.79,2.1,0.169928149,26376.79019,0,3522620,Employed,Single,1,East,3
7/19/2015,8/1/2024,7/20/2025,109,0.39,115,321,51,2.24,5.66,2.71,0.311384814,71352.68231,1,2989968,Employed,Married,4,East,3
2/21/2016,3/1/2022,10/22/2022,73,1,91,569,42,1.3,5.88,3.55,0.7,164071.7105,1,2804673,Employed,Single,1,West,3
3/4/2019,10/1/2022,,43,0.86,0,542,49,3.62,2.35,2.48,0.577028788,102355.5367,0,2614694,Employed,Single,2,North,2
11/29/2021,12/1/2022,4/27/2023,13,0.5,115,654,31,3.44,3.38,2.38,0.50249672,81004.55398,1,4555912,Employed,Single,4,East,3
1/12/2019,8/1/2023,,55,0.56,45,847,60,2.8,4.61,2.75,0.418837335,98590.15096,0,3629137,Employed,Divorced,1,East,2
6/26/2017,10/1/2023,,76,0.44,0,557,40,1.82,4.94,2.88,0.375896924,85578.82389,0,2375645,Retired,Married,3,East,2
11/28/2017,5/1/2022,,54,1,0,782,67,2.44,6.3,3.06,0.7,141152.9845,0,8985620,Employed,Married,1,East,2
3/4/2019,2/1/2024,8/15/2024,59,1,0,600,48,2.41,3.33,1.8,0.638456784,141819.2145,1,8103230,Employed,Married,3,East,2
5/9/2020,3/1/2022,,22,0.24,60,526,50,3.3,2.74,3.33,0.293372997,29517.98649,0,8517750,Employed,Divorced,0,East,2
11/7/2015,1/1/2022,,74,0.25,50,875,53,0.32,3.64,2.65,0.352857138,53228.278,0,3742455,Employed,Married,3,West,2
1/13/2019,6/1/2024,,65,1,0,699,53,0.21,5,1.71,0.619625838,175677.6211,0,5297084,Employed,Single,4,South,2
9/11/2018,6/1/2022,,45,0.89,27,608,36,3.08,3.83,3.04,0.648731693,130350.7979,0,5210583,Retired,Single,0,East,2
9/28/2020,4/1/2023,,31,0.2,32,566,37,1.54,6.73,3,0.27299414,53159.24627,0,5791882,Self-Employed,Married,4,East,2
9/16/2018,10/1/2023,,61,0.49,0,869,65,2.06,6.89,2.73,0.458591144,80969.59618,0,7015877,Employed,Married,3,North,1
8/26/2019,4/1/2023,3/6/2024,44,0.91,0,629,50,1.61,4.9,3.25,0.588652464,139014.2845,1,9677828,Employed,Married,2,South,2
1/6/2019,3/1/2022,,38,0.02,2,781,61,2.08,5.39,3.11,0.15,3772.315404,0,8683647,Employed,Single,4,North,1
11/3/2015,10/1/2022,5/16/2023,83,0.31,106,600,24,2.59,7.18,3.17,0.346597078,66432.22729,1,3535232,Employed,Single,1,South,3
9/18/2021,2/1/2024,1/20/2025,29,0.66,117,365,30,1.74,5.4,3.65,0.527849234,110511.5563,1,9348022,Unemployed,Married,4,North,3
3/24/2015,8/1/2023,,101,0.47,0,401,62,1.72,4.84,3.62,0.421024643,121016.5086,0,9752967,Employed,Single,3,East,2
9/11/2020,8/1/2022,,23,0.79,112,785,22,1.92,3.68,2.44,0.60182241,106455.5071,0,9471414,Employed,Single,4,South,3
2/26/2021,3/1/2022,8/9/2022,13,1,140,608,47,2.53,7.28,2.71,0.665998764,165362.034,1,8663998,Retired,Married,4,North,3
11/1/2019,1/1/2023,7/11/2023,38,1,100,619,43,1.91,4.19,2.72,0.7,144415.9798,1,4912669,Employed,Married,2,South,3
5/18/2020,5/1/2023,11/3/2023,36,0.17,13,376,58,2.49,5.88,2.89,0.258153624,13114.26026,1,4860562,Employed,Married,0,North,2
6/28/2015,10/1/2022,12/19/2022,88,0.93,40,362,43,1.4,3.58,3.75,0.625782429,144282.6573,1,5981505,Employed,Married,1,South,2
2/3/2020,2/1/2023,4/6/2023,36,0.71,98,884,45,3.49,4.26,2.73,0.633788726,114247.0496,1,3363162,Self-Employed,Married,2,West,3
9/19/2018,4/1/2023,,55,1,0,652,42,2.39,3.54,2.58,0.7,213363.4711,0,9343528,Unemployed,Single,2,East,2
1/25/2019,2/1/2022,,37,1,0,684,63,2.94,3.9,2.95,0.640434825,151317.0837,0,3507743,Unemployed,Single,0,East,2
1/15/2021,11/1/2022,,22,1,128,664,35,1.89,4.42,2.6,0.7,132396.4254,0,2954109,Self-Employed,Single,4,North,3
12/22/2015,10/1/2024,8/4/2025,106,1,90,389,36,1.6,7.89,1.93,0.651265916,160460.2143,1,8061183,Employed,Married,0,North,3
1/7/2015,2/1/2022,,85,0.74,0,701,67,3.49,4.36,2.65,0.59635423,74507.19925,0,2748982,Retired,Married,0,South,2
5/21/2016,1/1/2024,,92,0.25,1,553,53,2.72,3.46,2.85,0.345429779,40660.86435,0,3080154,Employed,Divorced,4,East,2
9/10/2016,3/1/2024,10/8/2024,90,1,129,647,49,2.6,4.64,2.99,0.658965884,155320.5056,1,5137270,Self-Employed,Married,4,North,3
9/27/2020,12/1/2022,,27,0.48,14,528,69,3.52,6.28,2.52,0.462168806,92892.00766,0,7409907,Unemployed,Single,1,West,2
10/9/2019,12/1/2023,,50,0.73,0,877,23,0.76,6.09,2.54,0.572139046,133972.445,0,6698618,Self-Employed,Married,0,West,2
5/15/2015,1/1/2024,,104,1,134,552,60,1.89,4.92,2.91,0.7,144928.6076,0,8240947,Unemployed,Married,2,West,3
7/20/2019,6/1/2024,,59,1,1,803,66,3.24,5.03,3.08,0.7,151987.7197,0,9908385,Employed,Single,0,North,2
9/17/2020,1/1/2024,11/8/2024,40,0.86,169,412,26,-0.39,4.22,3.86,0.610730594,118677.5834,1,6353966,Self-Employed,Single,3,South,3
2/8/2021,5/1/2022,,15,0.95,18,832,41,1.63,1.8,3.03,0.634813192,124938.7489,0,8319764,Employed,Divorced,3,West,2
1/15/2018,1/1/2024,2/26/2024,72,0.57,44,560,57,1.84,4.27,3.92,0.419024279,96697.89559,1,7982252,Unemployed,Single,3,West,2
4/8/2017,9/1/2023,2/14/2024,77,1,143,531,49,1.08,6.9,3.13,0.659209486,129528.289,1,4898606,Employed,Single,0,North,3
10/8/2019,8/1/2024,2/17/2025,58,0.96,127,706,55,1.4,5.64,3.62,0.674144915,140707.462,1,1421280,Unemployed,Married,1,East,3
1/15/2018,10/1/2022,,57,0.44,1,862,40,3.04,3.4,2.96,0.409057599,51096.5208,0,3707184,Unemployed,Married,3,East,1
12/8/2020,11/1/2022,10/22/2023,23,1,91,491,25,0.82,5.09,2.99,0.7,165993.6637,1,1533636,Unemployed,Single,3,East,3
1/23/2019,1/1/2024,6/16/2024,60,1,36,516,61,4.01,3.03,2.61,0.7,191028.602,1,6962859,Self-Employed,Single,0,West,2
8/16/2019,6/1/2022,,34,0.37,2,597,27,1.72,6.64,3.26,0.354150095,34468.24034,0,2845964,Employed,Divorced,1,North,2
5/2/2021,9/1/2023,,28,0.35,48,454,58,2.2,5.39,3.53,0.415176704,20439.63034,0,6646895,Employed,Single,0,South,2
4/9/2020,7/1/2022,,27,1,46,827,32,0.34,5.31,2.84,0.686767158,152502.2623,0,9503902,Employed,Single,0,North,2
10/15/2016,12/1/2022,,74,1,90,630,25,1.26,4.78,3.69,0.7,155313.9559,0,8334901,Self-Employed,Single,1,North,3
2/4/2016,11/1/2024,,105,0.88,115,834,34,0.16,5.61,3.13,0.665283367,141373.1861,0,2347203,Employed,Single,3,West,3
2/26/2017,6/1/2022,,64,0.08,2,899,21,1.31,2.91,2.73,0.151142122,8073.589695,0,8563493,Employed,Married,0,West,1
10/23/2019,2/1/2024,3/7/2024,52,0.2,114,300,60,1.4,6.16,2.8,0.206455375,30987.21402,1,3801742,Employed,Married,0,East,3
4/27/2015,11/1/2024,8/8/2025,115,1,154,744,21,0.37,4.8,3.38,0.7,162350.2082,1,7167294,Employed,Single,3,North,3
6/25/2021,6/1/2023,,24,0.45,116,772,35,1.17,5.68,2.66,0.386326861,93308.61785,0,6305431,Retired,Single,4,North,3
1/16/2020,8/1/2022,,31,0.7,16,860,60,2.22,6.73,3.34,0.570700025,70899.02459,0,8503276,Employed,Married,1,East,2
2/5/2018,6/1/2022,11/26/2022,52,0.93,5,530,50,2.43,5.6,2.87,0.685161881,137121.2112,1,2433284,Employed,Married,4,South,2
9/12/2018,8/1/2023,12/29/2023,59,0.85,36,424,38,3.04,3.17,2.5,0.613858554,136776.1759,1,7654754,Employed,Single,3,South,2
2/17/2015,12/1/2022,,94,0.1,1,685,32,4.01,4.8,3.8,0.162660314,2000,0,3114792,Employed,Married,4,South,1
1/3/2018,5/1/2022,,52,0.45,1,852,44,2.01,2.12,3.09,0.321757639,107123.3926,0,6008341,Employed,Single,4,South,2
